Factory,Distance (km),Predicted Lead Time,Original Factory,Region,Ship Mode,Division,Current Lead Time,Improvement (days),Improvement (%)
Lot's O' Nuts,925.6871782353663,1.711041768841279,Wicked Choccy's,Interior,Same Day,Chocolate,2.954085966514314,1.243044197673035,42.078809207430425
Wicked Choccy's,353.90810774859654,3.939661068384538,Secret Factory,Gulf,Standard Class,Sugar,5.178794834314525,1.2391337659299868,23.92706808386243
Wicked Choccy's,972.4583747439359,4.745319502177013,Sugar Shack,Atlantic,Standard Class,Sugar,5.944888014623217,1.1995685124462039,20.17815153953294
Secret Factory,315.3985793809281,2.9229322004563882,Wicked Choccy's,Interior,Second Class,Chocolate,4.108836485170499,1.1859042847141104,28.86228957989066
Wicked Choccy's,1149.7480903578003,3.977589785753211,Sugar Shack,Atlantic,Second Class,Sugar,5.027484650380876,1.0498948646276647,20.883104328287228
Wicked Choccy's,1149.7480903578003,2.958343469721605,Sugar Shack,Atlantic,First Class,Sugar,4.008238334349269,1.0498948646276638,26.193424069382655
Secret Factory,248.92713156003214,2.848095572542973,Sugar Shack,Interior,Second Class,Sugar,3.809509028831821,0.9614134562888483,25.237201146197673
Secret Factory,248.92713156003214,1.8288492565113668,Sugar Shack,Interior,First Class,Sugar,2.7902627128002147,0.9614134562888479,34.45601920845674
The Other Factory,452.1586532000498,3.0207980452745806,Wicked Choccy's,Gulf,Second Class,Chocolate,3.9821884096022733,0.9613903643276926,24.142262129272606
The Other Factory,681.118254640075,1.3387334612661723,Lot's O' Nuts,Interior,Same Day,Chocolate,2.2982225217512884,0.9594890604851161,41.74918013395707
Secret Factory,585.1048091390999,1.2873902568885298,Sugar Shack,Atlantic,Same Day,Sugar,2.154429880327807,0.8670396234392772,40.24450418907822
Wicked Choccy's,472.06583445409086,1.053583436957852,Secret Factory,Gulf,Same Day,Other,1.8777052264543175,0.8241217894964654,43.88983839879169
The Other Factory,455.3980554840159,2.9788782836493373,Secret Factory,Gulf,Second Class,Other,3.799831695788539,0.8209534121392017,21.604994059318145
The Other Factory,781.6959282884843,4.443104287941296,Wicked Choccy's,Interior,Standard Class,Chocolate,5.238815370806101,0.7957110828648055,15.188759796708942
The Other Factory,778.1107289883192,4.446493844058461,Secret Factory,Interior,Standard Class,Sugar,5.2338404894434,0.7873466453849396,15.043382521362837
Wicked Choccy's,456.4476598638691,2.0059023001387537,The Other Factory,Gulf,First Class,Other,2.7529570470443896,0.7470547469056359,27.136447613946014
The Other Factory,365.24353091512046,3.9009475630975325,Wicked Choccy's,Gulf,Standard Class,Chocolate,4.567044427562099,0.6660968644645662,14.584856246299548
Wicked Choccy's,327.3253208872165,0.9273348105505023,The Other Factory,Gulf,Same Day,Sugar,1.54179299957072,0.6144581890202178,39.85348157575633
Wicked Choccy's,824.5293820648177,4.471283030967288,Secret Factory,Gulf,Standard Class,Other,4.910489894900429,0.43920686393314146,8.944257565609902
Wicked Choccy's,824.5293820648177,2.463770740640375,Secret Factory,Gulf,First Class,Other,2.902977604573516,0.439206863933141,15.129529874470595
Lot's O' Nuts,880.8085518926165,2.603064142039015,Secret Factory,Pacific,First Class,Sugar,3.0407259009233005,0.4376617588842855,14.393331498619846
Wicked Choccy's,1024.6032249256082,1.777126375728579,The Other Factory,Atlantic,Same Day,Other,2.2112991201869945,0.4341727444584156,19.634283778926324
Wicked Choccy's,824.5293820648177,4.471283030967288,The Other Factory,Gulf,Standard Class,Other,4.900770588108575,0.42948755714128684,8.763673985952588
Wicked Choccy's,1149.7480903578003,4.912057105574888,The Other Factory,Atlantic,Standard Class,Other,5.339465457805027,0.42740835223013907,8.004703010211815
Wicked Choccy's,1149.7480903578003,4.965855760048518,The Other Factory,Atlantic,Standard Class,Sugar,5.393264112278656,0.4274083522301382,7.924854843601531
Wicked Choccy's,1386.979768179998,3.19964476672759,The Other Factory,Atlantic,First Class,Other,3.5600368695174485,0.36039210278985845,10.123268831165461
Wicked Choccy's,1024.6032249256082,2.748873177901797,Secret Factory,Atlantic,First Class,Other,3.10358938293236,0.354716205030563,11.429224722228462
Wicked Choccy's,1024.6032249256082,3.768119493933403,Secret Factory,Atlantic,Second Class,Other,4.122835698963966,0.354716205030563,8.603694906389315
Wicked Choccy's,1351.3852207462664,4.174613904782545,The Other Factory,Atlantic,Second Class,Other,4.487152848584034,0.3125389438014894,6.965194954304134
Wicked Choccy's,1149.7480903578003,4.912057105574888,Secret Factory,Atlantic,Standard Class,Other,5.211924822110099,0.2998677165352106,5.753492745388568
Wicked Choccy's,1149.7480903578003,1.932798013074758,Secret Factory,Atlantic,Same Day,Other,2.232665729609968,0.29986771653520994,13.430927548101653
Lot's O' Nuts,614.4382858116559,1.2921216828646935,Lot's O' Nuts,Pacific,Same Day,Chocolate,1.2921216828646935,0.0,0.0
Lot's O' Nuts,69.65654980228574,1.5861973353028551,Lot's O' Nuts,Pacific,First Class,Chocolate,1.5861973353028551,0.0,0.0
Lot's O' Nuts,1107.579150381621,4.884814219596002,Lot's O' Nuts,Pacific,Standard Class,Chocolate,4.884814219596002,0.0,0.0
Lot's O' Nuts,1578.349461319377,4.4821542537018875,Lot's O' Nuts,Pacific,Second Class,Chocolate,4.4821542537018875,0.0,0.0
Secret Factory,629.9128006591839,1.2772238660955237,Secret Factory,Interior,Same Day,Other,1.2772238660955237,0.0,0.0
Secret Factory,417.3772250068273,3.003837291678903,Secret Factory,Interior,Second Class,Other,3.003837291678903,0.0,0.0
Secret Factory,248.92713156003214,1.7750506020377381,Secret Factory,Interior,First Class,Other,1.7750506020377381,0.0,0.0
The Other Factory,365.24353091512046,0.8757391145031685,The Other Factory,Gulf,Same Day,Other,0.8757391145031685,0.0,0.0
The Other Factory,452.1586532000498,2.974848689180348,The Other Factory,Gulf,Second Class,Other,2.974848689180348,0.0,0.0
The Other Factory,781.6959282884843,2.3896426415201493,The Other Factory,Interior,First Class,Other,2.3896426415201493,0.0,0.0
The Other Factory,681.118254640075,4.272043197672071,The Other Factory,Interior,Standard Class,Other,4.272043197672071,0.0,0.0
The Other Factory,946.7247894731132,3.6141735526589063,The Other Factory,Interior,Second Class,Other,3.6141735526589063,0.0,0.0
Wicked Choccy's,298.94071572615763,1.8559238105108926,Wicked Choccy's,Gulf,First Class,Chocolate,1.8559238105108926,0.0,0.0
Wicked Choccy's,477.41463842275795,1.1061863386751556,Wicked Choccy's,Gulf,Same Day,Chocolate,1.1061863386751556,0.0,0.0
Wicked Choccy's,1293.4022467345992,2.157443296145534,Wicked Choccy's,Atlantic,Same Day,Chocolate,2.157443296145534,0.0,0.0
Wicked Choccy's,933.9155384244541,2.6820132661445975,Wicked Choccy's,Atlantic,First Class,Chocolate,2.6820132661445975,0.0,0.0
Wicked Choccy's,1024.6032249256082,3.814068850027636,Wicked Choccy's,Atlantic,Second Class,Chocolate,3.814068850027636,0.0,0.0
Wicked Choccy's,1024.6032249256082,4.8023348243229425,Wicked Choccy's,Atlantic,Standard Class,Chocolate,4.8023348243229425,0.0,0.0
